,Title,Published_date,Views,Likes,Dislikes,Comments,Month
0,7 WWCD | SUNA HAI NAYA UPDATE AAYA HAI !!,2024-07-18,370561,22360,0,41,Jul
1,Meet the Sanskari PUBG Squad 😂,2024-07-18,104886,10328,0,125,Jul
2,BHUL TOH NI GAYE HUME !!,2024-07-17,269308,15939,0,22,Jul
3,GUSSA THUK DO ( MUJPE NAI ) !!,2024-07-16,210537,12972,0,66,Jul
4,TUNE GYM KA FEES BHARA THANA ?? 🤨🤨,2024-07-15,148849,9841,0,17,Jul
5,Everyone Was Shocked after this 1v4 Clutch 🔥  | *22 Solo Kills* Highlights,2024-07-13,160993,15038,0,201,Jul
6,And this is how I Did a 1v4 in the End 😎 #shorts,2024-07-12,321810,28953,0,161,Jul
7,KOI BAAT NI AAJA STREAM DEKHLE THODI DER  !!,2024-07-09,247335,18050,0,43,Jul
8,"In Every Team, There is One Oversmart Friend 😠",2024-07-08,140300,11465,0,113,Jul
9,BONUS CHALLENGE TIME !!,2024-07-06,279908,16844,0,62,Jul
10,WHO WILL PAY OUR DINNER BILL ??,2024-07-06,482305,44830,0,666,Jul
11,Whose Name Will Be Lucky For Me ? *CRATE OPENING* #shorts,2024-07-05,1023459,129871,0,174,Jul
12,BADA PAARIVARIK MAHOL HAI,2024-07-04,281428,18041,0,33,Jul
13,ASLI CINEMA TOH HUM SABKI LIFE HAI,2024-07-03,265770,17948,0,33,Jul
14,"10,000 SUBS FOR CRATE OPENING || BAARISH ME INTERNET NAHI JAANI CHAHIYE PLS !!",2024-07-02,250256,17641,0,35,Jul
15,KHADA HU AAJ BHI WAHI...... !!,2024-07-01,250075,18629,0,64,Jul
16,that one oversmart friend 😂 #shorts,2024-07-01,103945,8807,0,24,Jul
17,This Game Will Trigger Everyone 😠,2024-07-01,169325,13119,0,204,Jul
18,He Got Banned in the Middle of the Game 😲,2024-06-26,211791,15557,0,161,Jun
19,TENSION MAT LE AA JAYEGA REPLY !!,2024-06-23,207502,12917,0,103,Jun
20,"10M SUBS PAR DIAMOND BUTTON MILEGA, SOCHA YAAD DILA DU !",2024-06-19,173122,13084,0,55,Jun
21,"UMAR BADHTI RAHE LEKIN, BACHPANA PRO MAX !!",2024-06-18,238748,15259,0,33,Jun
22,ABHI THIK KARKE DETA HU !!,2024-06-17,204107,15289,0,39,Jun
23,HYDERABADI BIRYANI LE AUNGA PARCEL !!,2024-06-16,270966,18700,0,44,Jun
24,Mortal v/s Campers : 9 Minutes of Epic Rage 😂 *PUBG PC Highlights*,2024-06-14,172061,12137,0,132,Jun
25,WHICH IS YOUR FAVORITE SUBJECT ??,2024-06-12,200587,12564,0,55,Jun
26,SUBSCRIBE KARO WARNA LIGHT KAAT DUNGA !!,2024-06-11,209141,13888,0,31,Jun
27,Whole Server Came to Kill Mortal & Carry 😂,2024-06-11,178817,15019,0,111,Jun
28,BANK LEKAR JAARA HU MAMBi KO,2024-06-10,148370,9840,0,32,Jun
29,SAME SAME BUT DIFFERENT !! - BGMI + PUBG PC TONIGHT,2024-06-08,192381,11397,0,39,Jun
30,AAO SAPNA POORA KAREIN AAJ,2024-06-07,168273,11058,0,81,Jun
31,GOA SE WAPAS AAGAYA,2024-06-06,201681,13027,0,101,Jun
32,HOW WILL YOU INTRODUCE MORTAL TO RANDOMS | GOA VLOG #BGMIAWARDS,2024-06-05,218245,21448,0,335,Jun
33,Toxic All Chat Moments in BGMI 😂| *Funny Highlights*,2024-06-03,129126,10786,0,100,Jun
34,SATURDAY BOOMBAM GAMING NIGHT !! !infosouls,2024-06-01,201121,12318,0,119,Jun
35,WEEKEND KI CHUTTI !!,2024-05-31,243595,15693,0,40,May
36,GAME KHELO SHAAM BHAR !!,2024-05-30,149742,9063,0,41,May
37,GARMI ME CHAI KA MAZA !!,2024-05-29,254857,18168,0,44,May
38,TEAM KA NAAM KARAN HOGAA AAJ !!,2024-05-28,272646,18497,0,34,May
39,NEW MOTO VLOG SETUP FOR MY HARLEY DAVIDSON !! #JOY,2024-05-28,275107,21653,0,629,May
40,ITNI GARMI HAI KYA BOLU ( IN MY AC ROOM )  !!,2024-05-27,231007,15032,0,37,May
41,Gifting UC to Funny Randoms in BGMI 🤣🤣 | Playing on Infinix GT 20 Pro 5G,2024-05-27,194548,6050,0,192,May
42,MELEE CUSTOMS WITH CARRY MAMBA AND GAREEB,2024-05-25,280177,18675,0,43,May
43,WEEKEND K MAZE,2024-05-24,87173,6638,0,42,May
44,S8UL DECIDED MY BIKES NAME !!,2024-05-23,229066,24671,0,726,May
45,BIRTHDAY STREAM 27 YEAR OLD 🎂🥳,2024-05-22,118138,12584,0,91,May
46,KANDHE DARD HONGE AAJ,2024-05-20,163036,10729,0,34,May
47,ABSOLUTE CINEMA GAMEPLAY,2024-05-19,150889,10637,0,25,May
48,AAPKI RAAT KO ROSHANI DENE AAGYE,2024-05-18,127626,8519,0,38,May
49,"A For Aman , B For Behla 😂",2024-05-18,138998,12604,0,119,May
50,Double Knife Kills 😂🔪 #shorts,2024-05-17,315630,30593,0,116,May
51,BoomBam Badmashi stream | MortaL,2024-05-16,134244,9113,0,41,May
52,Count my finishes today | MortaL,2024-05-15,63615,5102,0,48,May
53,When 3 Best IGLs Play BGMI Together 😂,2024-05-13,223323,16694,0,146,May
54,Kal monday hai. 😤| #mortalarmy,2024-05-12,89928,6907,0,25,May
55,Saturday Night Masti with BGMI and Oh Deer 🦌| #mortalarmy,2024-05-11,126630,8894,0,29,May
56,CHILL STREAM WITH NIGHT SQUAD | MortaL | VALO LATER 5v5,2024-05-09,106461,7384,0,25,May
57,Who Has Better Aim ? 🎯 #shorts,2024-05-09,1510189,103873,0,245,May
58,EE SALA CUP NAHI DE 😂| *MortaL Trolling Snax*,2024-05-09,165932,14975,0,115,May
59,Ajao Lamba majedaar Stream dekhne  | MortaL,2024-05-07,126176,9628,0,33,May
60,Trolling Each Other While Playing BGMI is Mandatory 😂,2024-05-07,174881,15216,0,146,May
61,Fill in the Blanks - Guess The Game Name #shorts,2024-05-05,211719,29385,0,113,May
62,( Part - 2 ) Guess the Game from Character Name #shorts,2024-05-04,174812,20506,0,125,May
63,Guess the Game from Character Name ( Part -1 ) #shorts,2024-05-04,167253,20505,0,102,May
64,A day in MortaL’s Life !!,2024-05-04,565481,28957,0,235,May
65,Guess the Game by Emoji | Rega vs MortaL   #shorts,2024-05-03,798123,94544,0,239,May
66,4 IN A ROW | MortaL v/s Aman #shorts,2024-05-03,538868,35069,0,119,May
67,NAME A GAME STARTING WITH A GIVEN LETTER #shorts,2024-05-01,370209,42826,0,55,May
68,Guess The Word Challenge !  #shorts,2024-04-30,397805,43188,0,56,Apr
69,MortaL Meets KKR Players !!  VLOG,2024-04-30,116575,11069,0,269,Apr
70,BoomBam Hero Xtreme 125R Finishes Challenge - Live with the Xtreme Squad,2024-04-28,69476,5611,0,50,Apr
71,This Squad Needs to Hesitate a Little Bit 💀😂,2024-04-24,206529,17581,0,180,Apr
72,Chicha log k sath | BGMI LIVE | MortaL,2024-04-23,146834,8436,0,28,Apr
73,WHO TRUSTS ME THE MOST IN S8UL  - Money Challenge !!,2024-04-21,349026,35999,0,462,Apr
74,KD badhaane waala gameplay | BGMI Live | MortaL,2024-04-18,118572,8280,0,41,Apr
75,BoomBaam Conqueror Ke Taraf Chale Hum 🚀 | BGMI Live | MortaL,2024-04-17,205436,13071,0,37,Apr
76,Babam Babam | Live | Mortal,2024-04-16,198062,12738,0,44,Apr
77,Fallout Ya Game off? | Challenging Payal Gaming On Fallout 76,2024-04-14,368708,4709,0,34,Apr
78,"Game In India | FULL SESSION with Honorable Prime Minister of India, Shri Narendra Modi Ji #NaMo",2024-04-13,340187,35861,0,1316,Apr
79,Teaser : Indian Gamers meet Indian Prime Minister Shri @NarendraModi Ji,2024-04-11,85715,10696,0,491,Apr
80,Mortal Meets PM Modiji 😱🤩 #shorts,2024-04-10,111884,18672,0,203,Apr
81,Intense BGMI Gameplay | Live | Mortal,2024-04-10,188323,11212,0,52,Apr
82,Clutch time | BGMI Live | MortaL,2024-04-09,205387,13414,0,36,Apr
83,Funniest BGMI Music Video Ever 😂🎶,2024-04-08,244564,26123,0,430,Apr
84,Everyone got shocked after this 1v4 Clutch 🔥,2024-04-08,124003,10594,0,76,Apr
85,Chalo conqueror | BGMI Live | MortaL,2024-04-07,181542,12332,0,41,Apr
86,Serious Gameplay Ekdam | BGMI Live | MortaL,2024-04-06,118562,8291,0,35,Apr
87,Hum Toh Chale Conqueror 😎 | *Funny BGMI Highlights 😂,2024-04-05,116075,11033,0,78,Apr
88,Aao badmashi karein,2024-04-05,158857,12871,0,41,Apr
89,BoomBam streaaaaaaam,2024-04-04,138410,10406,0,38,Apr
90,What was your previous job? Vlog 6,2024-04-03,346525,35235,0,462,Apr
91,Hello mere dopeher k dosto,2024-04-02,160473,11860,0,46,Apr
92,BENTLEY CRATE OPENING 😍120000 UC 🤑,2024-04-01,161364,12045,0,143,Apr
93,BoomBam Stream :D,2024-04-01,176056,13481,0,31,Apr
94,WHICH S8UL CREATOR YOU FOLLOWED FIRST ON INSTAGRAM ??,2024-03-30,238155,26681,0,291,Mar
95,The Only Way to Escape From DBS 🔥 #shorts,2024-03-29,76071,8374,0,40,Mar
96,When the Impostor Tricks His Own Teammates & Wins 😎,2024-03-28,114941,9337,0,73,Mar
97,AB AEGA NA MAZAAAAA | Bentleyyyyy,2024-03-27,151224,11770,0,32,Mar
98,Password yaad agaya,2024-03-26,95164,9049,0,56,Mar
99,Bullying Squad in BGMI😂 *Funny Stream Highlights* 🤣,2024-03-24,230245,21692,0,159,Mar
100,WHAT'S THE MOST EXPENSIVE THING YOU BOUGHT ??,2024-03-22,333739,34024,0,468,Mar
101,When Mortal betrayed CarryMinati 🤣 #shorts,2024-03-21,438797,33239,0,114,Mar
102,Mortal Became CarryMinati & Stabbed Him in Among Us😂,2024-03-18,228513,19105,0,193,Mar
103,QUICK 1V3 CLUTCH IN BGMI 🔥 #shorts,2024-03-16,117634,9310,0,47,Mar
104,RATING OVERALL IQ OF S8UL CREATORS !!,2024-03-15,769215,102511,0,11417,Mar
105,BoomBam night stream :D,2024-03-14,137846,10526,0,59,Mar
106,CAN YOU GUESS MY YOUTUBE REVENUE ??,2024-03-13,369687,45244,0,373,Mar
107,Sunday ko abhi 5 din aur hain,2024-03-12,143636,11778,0,46,Mar
108,Monday is mondaying,2024-03-12,243512,19981,0,88,Mar
109,TOP 5 BGMI PLAYERS OF S8UL !!,2024-03-11,358527,46884,0,2145,Mar
110,A Thrilling 1v3 Clutch by MortaL 😲 | *20* Solo Kills Highlights,2024-03-10,104603,8681,0,138,Mar
111,Palworld now ...BGMI Done !!,2024-03-09,157118,12920,0,30,Mar
112,AMONG US BOHT SAALO BAAD !! 😎,2024-03-08,281575,27365,0,158,Mar
113,The Most Hilarious BGMI Video Ever 🤣🤣 ( Part - 2 ),2024-03-08,281593,27630,0,170,Mar
114,Difficult Chicken Dinner in ACE Dominator *1v3*  #shorts,2024-03-07,3930215,266375,0,802,Mar
115,W Gameplay | Conqueror Rank Push,2024-03-06,196404,15888,0,57,Mar
116,KADVI MAGGI VLOG | EYE BLINK CHALLENGE FT. SCOUT PAYAL,2024-03-06,335772,37065,0,319,Mar
117,Bahot chillane wala squad hai aaj,2024-03-05,243191,20326,0,48,Mar
118,Superchat Reaction to TX Chicken Dinner in Tournament 😱 #shorts,2024-03-05,595439,58045,0,161,Mar
119,BoomBam Conqueror Rank Push,2024-03-04,172737,15985,0,58,Mar
120,Drive Me Daddy 😂 #shorts,2024-03-03,147241,13007,0,43,Mar
121,BoomBam Classic Rank Push,2024-03-02,242040,22373,0,204,Mar
122,"Agye hum, lekin dopeher me",2024-03-01,201026,16598,0,44,Mar
123,The Most Humble BGMI Squad 😂,2024-02-29,216538,21149,0,216,Feb
124,Kesa gaya exam?????,2024-02-27,99171,10011,0,49,Feb
125,Padhai kesi chal rahi hai?,2024-02-26,174578,15204,0,47,Feb
126,Sunday Classic Rank Push,2024-02-25,183782,18169,0,41,Feb
127,Gaddari Karbe 😲 #shorts,2024-02-24,394941,41367,0,67,Feb
128,We Crossed the Limits of Roasting 🤣 *Funny Highlights*,2024-02-24,261174,24628,0,329,Feb
129,THATS WHY I LIKE SAMURAI SWORD ⚔😎 #shorts,2024-02-23,394382,42372,0,247,Feb
130,BoomBam Classic Rank Push !!,2024-02-21,217215,16783,0,57,Feb
131,HEAVY RANK PUSH ON Samsung Galaxy S24 Ultra !!,2024-02-20,213369,17024,0,37,Feb
132,Mortal & Yuzi Bhai Trolled Kaashvi & Krutika 😂,2024-02-19,318737,25496,0,165,Feb
133,HEAVY RANK PUSH TO CONQUEROR !!,2024-02-16,276846,22058,0,63,Feb
134,When Your Teammates Are Out of Control 😂,2024-02-16,158235,13757,0,95,Feb
135,5 Years Experience 🔥😎 #shorts,2024-02-13,198162,18351,0,81,Feb
136,ISS SEASON PAKKA CONQUEROR  !!,2024-02-12,184859,17383,0,76,Feb
137,The Most Hilarious BGMI Video Ever 🤣🤣,2024-02-11,660258,56315,0,361,Feb
138,"MY FIRST QNA VIDEO - MARRIAGE , YT QUIT ? ,  INNOCENT IN S8UL ? #PlayGalaxy",2024-02-10,212018,26547,0,532,Feb
139,Fridaaaaaaay,2024-02-09,157655,16247,0,98,Feb
140,Time to reach LEVEL 30 in Palworld,2024-02-09,51724,5389,0,29,Feb
141,HEADPHONES LAGA KAR DEKHNA,2024-02-08,168147,17265,0,56,Feb
142,Hello Pals | Catching higher level pals,2024-02-08,52810,5829,0,23,Feb
143,1v4 Clutch in an Apartment 🔥 #shorts,2024-02-08,799106,74073,0,165,Feb
144,Valorant Rank Push with OG Team SouL 🌹| BGMI Done,2024-02-08,210100,20150,0,47,Feb
145,2024 ka First morning stream !! Join me Pals,2024-02-07,83259,10027,0,20,Feb
146,When You Have a Mic Spammer Teammates 😡,2024-02-07,323492,31053,0,184,Feb
147,VALO road to Ascendant 😤😤,2024-02-06,125995,10790,0,39,Feb
148,OKOK team mates xD | VALO 😎,2024-02-05,169999,13473,0,40,Feb
149,Quick 1v4 Clutch in BGMI 😎 #shorts,2024-02-05,272520,20547,0,66,Feb
150,"Kal sab ko office and school jaana hai, moye moye xD",2024-02-04,180979,17019,0,92,Feb
151,SATURDAY NIGHT LIVE BADMASHI,2024-02-03,137998,11612,0,28,Feb
152,Importance of Cover Fire & Team Work 💪🔥 #shorts,2024-02-03,2467688,221392,0,213,Feb
153,Ladai karne waali squad | Palworld later,2024-02-02,149498,13099,0,31,Feb
154,Triple Chicken Dinner in BGMI | Aggressive Gameplay 🔥 *131 SquadKills*😱,2024-02-02,260824,20945,0,159,Feb
155,Aao Kheloge mere sath ? | BGMI 😎,2024-02-01,111487,10087,0,30,Feb
156,PALWORLD DAY 2,2024-01-30,286084,22836,0,42,Jan
157,437m Running Vehicle Knock With AWM😱🥵 #shorts,2024-01-30,2755800,224659,0,558,Jan
158,The Ultimate Roast Battle b/w S8uL Creators in BGMI 🤣,2024-01-30,283290,25267,0,163,Jan
159,50 kills before 11:30 or I sing a song | BGMI,2024-01-29,188249,16000,0,48,Jan
160,50 kills Challenge  | BGMI,2024-01-28,185364,14469,0,15,Jan
161,Count my FINISHES today :D 😍 | Palworld 11pm,2024-01-27,124443,11082,0,31,Jan
162,Maxing Shinobi Kami M416 🤩 | Craziest Crate Opening Ever 😂,2024-01-27,329738,21507,0,226,Jan
163,PALWORLD FIRST STREAM 😍,2024-01-26,157166,13811,0,37,Jan
164,Koi new skin aai hai kya? Only BGMI today,2024-01-25,136208,12560,0,69,Jan
165,"BGMI , But Everyone is Roasting !",2024-01-24,251024,24472,0,199,Jan
166,Boombam to 125 finishes in 125 minutes - MortaL Xtreme Squad,2024-01-23,150515,13821,0,195,Jan
167,"Tum Khelte Raho, Me Trophy Le jata hu !! | Vlog🏆🏆",2024-01-21,258515,26343,0,610,Jan
168,BoomBam classics and Sunken land later tonight :D,2024-01-20,191633,15835,0,95,Jan
169,Who Needs Enemies When You Have a Teammate like Rega 😠 ( part-2 ),2024-01-18,330633,27679,0,178,Jan
170,SunkenLand Base Defense and Farming !!,2024-01-16,160162,13220,0,36,Jan
171,SunkenLand Day #3 with S8UL | BGMI Chill Stream,2024-01-15,139582,12101,0,30,Jan
172,TRYING BGMI WEAPONS IN REAL LIFE !! 😱😱,2024-01-15,1537656,91308,0,827,Jan
173,SunkenLand EXPLORATION with S8uL !!,2024-01-14,128772,12253,0,37,Jan
174,AA GAYE HUM WAPAS !!,2024-01-13,139977,13154,0,39,Jan
175,Viper & Mamba Carrying Me in BGMI Custom Room,2024-01-12,113392,12025,0,87,Jan
176,Why Mortal is the Finest Sheriff in Among Us 😎(part-2),2024-01-09,122584,12465,0,101,Jan
177,We banned the *TuTu User* on the Live Stream 😂,2024-01-05,193355,17053,0,144,Jan
178,CUSTOM SUBSCRIBER ROOMS | NEW STREAM OVERLAY !!,2024-01-04,170379,13905,0,39,Jan
179,NAYA SAAL NAYA STREAM !!,2024-01-03,175347,15228,0,36,Jan
180,"Embracing Success, Growth, & Happiness : MortaL REWIND 2023",2023-12-31,89547,17530,0,554,Dec
181,LAST STREAM OF THE YEAR 😁 | Ft.S8UL 💙,2023-12-29,227449,17055,0,86,Dec
182,Valorant 5 stack | Ft.S8UL 💙,2023-12-28,208220,17218,0,57,Dec
183,BGMI Custom room BADMASHI and MIDNIGHT GHOST HUNT :D | Ft.S8UL 💙,2023-12-27,198375,16871,0,53,Dec
184,We Don't Know How We Won This Game 😱😲,2023-12-26,205445,23238,0,134,Dec
185,I MAXED OUT GLACIER UMP ❄🤩*40000 UC* Crate Opening,2023-12-24,163222,12126,0,198,Dec
186,"Rank Push with Regaltos , Goldy Bhai & Krutika💥",2023-12-23,135369,11593,0,101,Dec
187,The Untold Story of Mamaearth ! Ft. @8bitMAMBA,2023-12-23,99575,13700,0,250,Dec
188,Valorant Boombam 5-man stack rank push 💥,2023-12-22,313125,32719,0,55,Dec
189,Hilarious Drawings that will Make Your Eyes Bleed 😭🎨,2023-12-22,118545,11174,0,95,Dec
190,5 Stack Valorant | Ft.S8UL 💙,2023-12-20,125916,11210,0,29,Dec
191,Valorant 5v5,2023-12-19,162030,13342,0,63,Dec
192,That One Friend in Every Group Project 😂 #shorts,2023-12-15,377125,22963,0,44,Dec
193,MortaL & Rega Discovered A New Trick for *Pagani Crate Opening* 🤩| 160000 UC Crate Opening,2023-12-15,168702,12098,0,130,Dec
194,New Setup BackGround xD | BGMI and Lethal company  💙,2023-12-13,163427,13111,0,72,Dec
195,Hilarious Banter Between Old Team SouL 😲,2023-12-13,179057,17002,0,106,Dec
196,Valorant 5 stack ft. S8UL | BGMI Done 💙,2023-12-12,120756,10872,0,27,Dec
197,BoomBam Classics and LETHAL COMPANY  !! 🚀🚀,2023-12-11,146620,12284,0,38,Dec
198,Badmash squad  ekdum and 5v5 Valorant !! 🚀🚀,2023-12-10,146281,12952,0,53,Dec
199,PARTY ANIMALS BADMASHI  !! 🚀🚀,2023-12-09,136462,13541,0,45,Dec
200,Fastest Way to Upgrade the New X-Suit & Gun Skins 🤩😎,2023-12-05,225902,15174,0,159,Dec
201,Suna hai Naya X-SUIT Aya hai !! 🚀🚀,2023-12-03,153810,16139,0,56,Dec
202,VALOOOO :D !! 🚀🚀,2023-11-24,168061,12327,0,36,Nov
203,Roasting Squad is Back in BGMI 😂,2023-11-24,154750,13925,0,101,Nov
204,BGMI Custom Lobby and Propnight Badmashi !! 🚀🚀,2023-11-23,143402,12196,0,36,Nov
205,Gamerz Night Live | Week 5 Episode 9-Fun With Randoms @lenovolegion #lenovolegion #youtubeindia #GNL,2023-11-21,76368,6851,0,16,Nov
206,PROP AND SEEK NIGHTTT,2023-11-20,156478,13894,0,23,Nov
207,PARTY ANIMALS,2023-11-18,146871,12208,0,68,Nov
208,We Crossed the Limits of Trolling 🤣 *Funny Highlights*,2023-11-18,332998,26647,0,145,Nov
209,Heal Battle & MortaL : A Never-Ending Love Story 😍💉,2023-11-12,260387,19543,0,193,Nov
210,MortaL & Aman Took 23 Kills from One Place 😱,2023-11-09,110396,8985,0,91,Nov
211,TOP 10 SOON 🚀 #S8UL #MortalArmy,2023-11-06,186342,16041,0,39,Nov
212,This is How MortaL Plays in Conqueror Lobby 😈🔥,2023-11-06,50058,6470,0,247,Nov
213,Heavy RANK PUSH and KAL Hyderabad Dreamhack Meetup- Owner Life🚀 #S8UL #MortalArmy,2023-11-04,155253,12524,0,38,Nov
214,PARTY ANIMALSSSSSSSS :D | Parso Hyderabad Dreamhack Meetup- Owner Life🚀 #S8UL #MortalArmy,2023-11-03,176766,14815,0,27,Nov
215,This Match Took Me To Top 100 Conqueror 🔥🤩,2023-11-03,175345,14776,0,184,Nov
216,"GHUMO, FIRO, Rank Push Continue KARO- Owner Life🚀 #S8UL #MortalArmy",2023-11-02,192531,17447,0,24,Nov
217,Mad**J**t Series S2 - EP 3 - Bhoot Bhagane wale aa gaye,2023-11-01,308157,48876,0,1861,Nov
218,Top 50 Time |  BGMI RANK PUSH 🚀 #S8UL #MortalArmy,2023-10-31,174148,15808,0,32,Oct
219,TOP 50 JAENGE |  BGMI RANK PUSH 🚀 #S8UL #MortalArmy,2023-10-30,207085,18714,0,34,Oct
220,The Ultimate Dominating Squad in BGMI  | *20 Solo Kills* 🔥,2023-10-29,159218,12218,0,140,Oct
221,CONQUEROR TOP 100 DONE❤️ LET'S GO #1 | SATURDAY SPECIAL STREAM | BGMI RANK PUSH 🚀 #S8UL #MortalArmy,2023-10-28,218237,19374,0,112,Oct
222,TOP 100 RANK SOON | BGMI rank push,2023-10-27,255641,21486,0,30,Oct
223,TOP 500 Today | BGMI rank push,2023-10-26,221955,18880,0,64,Oct
224,I Played VALORANT With Jod Gang 😎 *Funny Highlights* 🤣,2023-10-26,65494,7825,0,72,Oct
225,Top 500 Today ? Conqueror Incoming !🔥,2023-10-25,171558,15734,0,83,Oct
226,"ACE 1, Conqueror soon",2023-10-24,148722,13157,0,19,Oct
227,"3000 Rank Hogaye, Conqueror soon.",2023-10-23,127061,11900,0,48,Oct
228,World Ka Best BGMI Duo 👨🏻‍🤝‍👨🏻😎,2023-10-23,151457,11312,0,119,Oct
229,ROAD TO CONQUEROR BOOM BAAM RANK PUSH ! 😍,2023-10-22,140408,12484,0,29,Oct
230,ROAD TO CONQUEROR BOOM BAAM RANK PUSH ! 😍,2023-10-21,122106,10983,0,25,Oct
231,Secret Trick to Get Forest Elf Set 😱,2023-10-21,85701,10376,0,93,Oct
232,Aao badmashi karein,2023-10-20,106265,11730,0,24,Oct
233,What you Guys Did not see at India Gaming Awards ! BTS 🤣,2023-10-19,151852,18238,0,251,Oct
234,The Most Useless BGMI Squad That Ever Existed 😂,2023-10-13,321472,25492,0,217,Oct
235,BoomBam classics Ft Aman GBHAI and Mamba #mortalarmy ❤,2023-10-06,226768,17800,0,39,Oct
236,"BoomBam classics with GBHAI, REGA and KRU  #mortalarmy ❤",2023-10-05,207839,20312,0,44,Oct
237,PARTY ANIMAL | 18+ Risk wear headphone xD  #mortalarmy ❤,2023-10-04,233229,22379,0,53,Oct
238,MortaL v/s Stream Snipers in BGMI 😱😂,2023-10-04,165081,14121,0,159,Oct
239,RP MAX TIME & BoomBam Classics #mortalarmy,2023-10-03,306707,34874,0,111,Oct
240,Your Dead Player is Back 💀 #mortalarmy,2023-10-02,504162,72502,0,949,Oct
241,I Danced infront of Scout 😂🕺,2023-09-30,75612,6917,0,149,Sep
242,Gussa mat dilao meko team mates ! - #mortalarmy ❤,2023-09-29,183599,15594,0,65,Sep
243,Who Needs Enemies When You Have a Teammate like Rega 😠,2023-09-29,523313,35351,0,176,Sep
244,Heavy BGMI Chicken Dinner stream Ft - Rega Aman Krutika#mortalarmy ❤,2023-09-28,176281,13044,0,36,Sep
245,Challenging Scout in @RaiderSIXOfficial  | Mortal Vs. Scout | Live,2023-09-27,80504,6285,0,29,Sep
246,We Are Back ! BoomBam Rank Push #mortalarmy ❤,2023-09-26,193913,14974,0,46,Sep
247,We Met Ranveer Singh at Moto Gp Bharat !,2023-09-25,313659,28505,0,470,Sep
248,1 vs 6 Situation in End Zone 😱 | *Conqueror Lobby Domination*,2023-09-23,134037,11300,0,96,Sep
249,We Trolled @KrutikaPlays in BGMI 🤣,2023-09-19,356894,27362,0,193,Sep
250,The Ultimate MUSCLE MEMORY Test in S8UL GAMING HOUSE !,2023-09-17,503986,52405,0,673,Sep
251,"BoomBam Rank Push (Current Rank- Ace Dominator  ! Ft-Krutika, Viper  #mortalarmy ❤",2023-09-15,213994,15874,0,71,Sep
252,I MAXED OUT TIDAL EMBRACE M416 - 98000 UC 😱🔥,2023-09-15,374837,33441,0,218,Sep
253,M416 Tidal Wave OPENING and Khatarnak rank push stream Ft- Thug and Mamba  #mortalarmy ❤,2023-09-14,409594,35382,0,67,Sep
254,The Ultimate Rank Push Squad is here ! Ft- Mamba Viper and Aman #mortalarmy ❤,2023-09-13,267245,20406,0,41,Sep
255,"Intense BGMI Rank push continues | Ft- Scout, Aman and Willy  | #mortalarmy 💙",2023-09-12,207900,15619,0,30,Sep
256,Intense Rank Push to Conqueror ( 2mins delay ) | #mortalarmy 💙,2023-09-11,220637,16724,0,47,Sep
257,The Luckiest Crate Opening Of My Life 😍 *18-UC LUCK* 🤑,2023-09-10,368851,32970,0,428,Sep
258,Gohan and Piccolo opening | LONG BGMI RANK PUSH STREAM | #mortalarmy 💙,2023-09-09,294581,22105,0,166,Sep
259,Phasmophobia ka Phobia | #mortalarmy 💙,2023-09-08,237128,20789,0,41,Sep
260,(87 Kills 2 Matches) New Deadly Duo Destroying the Entire BGMI Lobby 😈🔥,2023-09-08,244598,20523,0,219,Sep
261,VALORANT 5v5 :D  | #mortalarmy ❤,2023-09-06,256089,17994,0,49,Sep
262,8 Players Gangbeast BADMASHI  :D  | #MortaLArmy ❤️,2023-09-05,341010,23328,0,51,Sep
263,Ultimate Fun with Naughty BGMI Squad 😜,2023-09-05,156036,14287,0,182,Sep
264,HORROR PHASMOPHOBIA TIME | #mortalarmy ❤,2023-09-03,271041,19772,0,51,Sep
265,The Ultimate Trolling Squad in BGMI 🤣 ( Part-2 ),2023-08-30,209809,16418,0,159,Aug
266,BOOMBAM Classic Rank Push | #mortalarmy ❤,2023-08-26,352056,25701,0,64,Aug
267,When the Roasting Squad Plays Together 😂 ( Part-2 ),2023-08-25,553956,39358,0,328,Aug
268,BGMI and VALORANT Rank Push Night | #MortaLArmy ❤️,2023-08-24,323569,23573,0,35,Aug
269,"MAXING OUT MARMORIS X-SUIT - 1,32,000 UC 😍😱",2023-08-24,420191,36741,0,485,Aug
270,PHASMOPHOBIA KA DARRR | #mortalarmy 💙,2023-08-23,565890,49876,0,61,Aug
271,GIRE HUE PLAYERS | #mortalarmy ❤,2023-08-22,307272,21815,0,48,Aug
272,ULTIMATE ROAST BATTLE 😡 | MortaL v/s Aman,2023-08-22,241494,23973,0,185,Aug
273,VALO 5v5 | BGMI BoomBaam | #mortalarmy ❤,2023-08-21,348644,25001,0,42,Aug
274,VALORANT 5v5 with S8UL | AMONG US BHASAD | BGMI BoomBaam | #mortalarmy ❤,2023-08-19,349403,22661,0,32,Aug
275,111000 UC 😱 STARSEA AKM CRATE OPENING 😍,2023-08-19,509355,39621,0,404,Aug
276,18+ Warning | RAAT me HORROR KA SATH | OUTLAST TRIALS | #mortalarmy ❤,2023-08-18,340422,28963,0,40,Aug
277,Here’s how you can unleash the gaming beast inside you with the Odyssey #OLEDG8 gaming monitor!,2023-08-18,115948,10508,0,58,Aug
278,HORROR GAME PHASMOPHOBIA | #mortalarmy ❤,2023-08-17,337600,22583,0,46,Aug
