,Title,Published_date,Views,Likes,Dislikes,Comments,Month
1829,Classic Beasts | PUBG MOBILE| Gaming Partner - OnePlus,2019-03-18,1165279,45222,0,534,Mar
1830,PMIS CHAMPIONS on the Run| PUBG MOBILE| Gaming Partner - OnePlus,2019-03-17,1470105,64095,0,523,Mar
1831,OPPO x PUBG MOBILE India Series Grand Finals' 2019,2019-03-10,2307914,77328,0,1346,Mar
1832,OPPO x PUBG MOBILE India Series | Semifinals | Day 4,2019-02-24,565290,13006,0,434,Feb
1833,OPPO x PUBG MOBILE India Series | Semifinals | Day 3,2019-02-23,467851,12579,0,147,Feb
1834,OPPO x PUBG MOBILE India Series | Semifinals | Day 1,2019-02-21,724894,20063,0,244,Feb
1835,OPPO x PUBG MOBILE India Series | Online Playoffs | Round Two | Day 5,2019-02-20,577472,15673,0,84,Feb
1836,OPPO x PUBG MOBILE India Series | Online Playoffs | Round Two | Day 4,2019-02-18,563344,14850,0,278,Feb
1837,OPPO x PUBG MOBILE India Series | Online Playoffs | Round Two | Day 3,2019-02-17,808774,18312,0,147,Feb
1838,OPPO x PUBG MOBILE India Series | Online Playoffs | Round Two | Day 2.,2019-02-16,772194,18746,0,125,Feb
1839,CHARITY STREAM | SouLdiers to Soldiers | PUBG MOBILE #JAIHIND,2019-02-16,158838,5175,0,149,Feb
1840,CHARITY STREAM | SouLdiers to Soldiers | PUBG MOBILE #JAIHIND,2019-02-16,132649,5720,0,79,Feb
1841,CHARITY STREAM | SouLdiers to Soldiers | PUBG MOBILE #JAIHIND,2019-02-16,379072,18923,0,217,Feb
1842,Oppo × PUBG Mobile INDIA series online Playoffs | Round 2 Day 1,2019-02-15,716904,26067,0,95,Feb
1843,Oppo × PUBG Mobile India Series Online Playoffs- Day 5,2019-02-14,676487,22140,0,93,Feb
1844,Oppo × PUBG Mobile India Series Online Playoffs- Day 4,2019-02-13,971172,30686,0,137,Feb
1845,Oppo × PUBG Mobile India Series Online Playoffs- Day3,2019-02-12,1083709,37970,0,193,Feb
1846,Oppo X PUBG Mobile India Series Online Playoffs- Day 2,2019-02-11,833750,29917,0,268,Feb
1847,Oppo X PUBG India Series Mobile Online Playoffs- Day 1,2019-02-10,1299619,42504,0,304,Feb
1848,Morning Intense Chill Stream | PUBG MOBILE,2019-02-08,468105,13978,0,158,Feb
1849,Morning Intense Chill Stream | PUBG MOBILE,2019-02-08,247062,7988,0,64,Feb
1850,Intense Battles | PUBG MOBILE,2019-02-07,540211,15537,0,229,Feb
1851,Build up to the MOST UNEXPECTED CLUTCH | PUBG MOBILE,2019-02-06,512914,35019,0,1833,Feb
1852,ChampuCam Intense Battles FT-MortaL | PUBG MOBILE,2019-02-05,296341,11464,0,94,Feb
1853,ChampuCam Intense Battles FT-MortaL | PUBG MOBILE,2019-02-05,218041,8581,0,41,Feb
1854,ChampuCam Intense Battles FT-MortaL | PUBG MOBILE,2019-02-05,120583,4413,0,128,Feb
1855,#OmenByHP #OmenHP Gaming Zone | SUNDAY Chill Stream | PUBG Mobile,2019-02-03,447508,16756,0,9,Feb
1856,#OmenByHP #OmenHP Gaming Zone | Night Chill Stream | PUBG Mobile,2019-02-02,514029,15433,0,216,Feb
1857,#OmenByHP #OmenHP Gaming Zone | Morning Chill Stream | PUBG Mobile,2019-02-02,528363,16425,0,105,Feb
1858,#OmenByHP | Yeh DP waala hai kya? | PUBG MOBILE (100 PUBG PC STEAM KEY GIVEAWAY),2019-02-01,208156,6879,0,93,Feb
1859,#OmenByHP | Yeh DP waala hai kya? | PUBG MOBILE (100 PUBG PC STEAM KEY GIVEAWAY),2019-02-01,356260,12090,0,56,Feb
1860,#OmenByHP | Yeh DP waala hai kya? | PUBG MOBILE (100 PUBG PC STEAM KEY GIVEAWAY),2019-02-01,154182,4929,0,39,Feb
1861,Controlling Intense Situations | One of the most unexpected endings ever | PUBG MOBILE Highlight #3,2019-02-01,527664,33383,0,1346,Feb
1862,Elite Custom Matches and PUBG PC game keys GiveAway #OmenByHP,2019-01-31,546827,21727,0,145,Jan
1863,Melee/Crossbow Funny ADVANCE Custom ROOM | PUBG MOBILE Highlight #2,2019-01-31,697582,24745,0,919,Jan
1864,Miramar/Erangel Classic Rank Push | PUBG MOBILE |,2019-01-31,482262,19508,0,175,Jan
1865,Classic Rank Push | PUBG MOBILE |,2019-01-29,405726,13536,0,185,Jan
1866,Insane Clutch's FT- MortaL | PUBG MOBILE #1,2019-01-29,1289000,40918,0,1362,Jan
1867,Classic Rank Push| PUBG MOBILE |,2019-01-28,260843,9148,0,106,Jan
1868,Classic Beasts | PUBG MOBILE |,2019-01-28,264097,10395,0,93,Jan
1869,Classic Beasts | PUBG MOBILE |,2019-01-28,167454,7367,0,47,Jan
1870,OPPO x PUBG MOBILE India Series 2019 - In-Game Qualifier Highlights,2019-01-28,255012,9380,0,981,Jan
1871,SHADOW vs FORCE (SEA STREAMERS BATTLE) | PUBG MOBILE- Invitational [2 Min Delay],2019-01-26,381762,10276,0,206,Jan
1872,REPUBLIC DAY SPECIAL| #JaiHind | PUBG MOBILE,2019-01-26,615158,22128,0,212,Jan
1873,Classic Beasts | Pubg Mobile | SouL Mates,2019-01-24,374973,11556,0,99,Jan
1874,Classic Beasts | Pubg Mobile | SouL Mates,2019-01-24,371026,14648,0,72,Jan
1875,Classic Beasts | Pubg Mobile | SouL Clan,2019-01-23,640846,34673,0,247,Jan
1876,TPP Intense Classic Matches | PUBG MOBILE,2019-01-21,545372,17406,0,207,Jan
1877,TPP Classic Matches | PUBG MOBILE,2019-01-21,178441,6507,0,86,Jan
1878,Chicken Dinner Push | PUBG MOBILE || 200 Seconds Delay,2019-01-20,174818,6116,0,99,Jan
1879,Chicken Dinner Push | PUBG MOBILE || 200 Seconds Delay,2019-01-20,283303,9486,0,53,Jan
1880,Broken Crew Challenge | PUBG MOBILE | DP SKIN OP |,2019-01-19,356874,12327,0,197,Jan
1881,Broken Crew Challenge | PUBG MOBILE | DP SKIN OP |,2019-01-19,224480,8708,0,128,Jan
1882,100 RP | Season 5 | RANK PUSH | PUBG MOBILE,2019-01-19,267018,8579,0,190,Jan
1883,GOODBYE SEASON 4 | How is the new MK47? | PUBG MOBILE.,2019-01-18,404486,19191,0,157,Jan
1884,Season end masti with SouL #2 | PUBG MOBILE |,2019-01-18,477699,17197,0,129,Jan
1885,ping.exe | Pubg Mobile,2019-01-16,205146,8233,0,694,Jan
1886,Season end masti with SouL | PUBG MOBILE |,2019-01-16,539400,22477,0,166,Jan
1887,Intense Classic Matches | PUBG MOBILE |,2019-01-15,409605,15247,0,131,Jan
1888,Intense Classic Matches | PUBG MOBILE,2019-01-15,229881,9578,0,190,Jan
1889,SPARKI TOURNAMENT AND CLASSIC MATCHES | PUBG MOBILE,2019-01-14,314804,10554,0,55,Jan
1890,SPARKI TOURNAMENT AND CLASSIC MATCHES | PUBG MOBILE,2019-01-14,178125,7616,0,45,Jan
1891,Battle Of Streamers | BATTLE ADDA DAY 2 | PUBG MOBILE,2019-01-13,826140,19986,0,377,Jan
1892,Laugh | Kill | Enjoy | PUBG MOBILE,2019-01-12,226616,9598,0,106,Jan
1893,Battle Of Streamers | BATTLE ADDA (PUBG MOBILE),2019-01-12,1154113,30157,0,392,Jan
1894,TPP Intensifies | PUBG MOBILE | Classic Fun (New Description),2019-01-12,330817,12237,0,70,Jan
1895,TPP Intensifies | PUBG MOBILE | Classic Fun (New Description),2019-01-11,82801,3483,0,49,Jan
1896,TPP Intensifies | PUBG MOBILE | Classic Fun (New Description),2019-01-11,215385,9372,0,60,Jan
1897,Intense TPP | PUBG MOBILE,2019-01-10,456578,22177,0,187,Jan
1898,Intense TPP Gameplays | SouL Clan | iPad + FaceCam !!,2019-01-09,174665,7386,0,227,Jan
1899,FACECAM LIVE !! 500k SPECIAL !! ROG SPECIAL !! | PUBG MOBILE,2019-01-09,533715,28688,0,391,Jan
1900,33 Kills by MortaL in SQUAD vs SQUAD ACE TIER | PUBG MOBILE,2019-01-08,338208,18972,0,1282,Jan
1901,Night Session | Classic Experts | SouL Clan | Pubg Mobile,2019-01-07,289630,12274,0,155,Jan
1902,Classic Experts | SouL Clan | Pubg Mobile,2019-01-07,320181,21547,0,100,Jan
1903,Vicky Kaushal's Surgical Strike On POCHINKI | PUBG MOBILE,2019-01-06,471624,21841,0,660,Jan
1904,Vicky Kaushal's Surgical Strike On POCHINKI | PUBG MOBILE,2019-01-06,117737,5140,0,92,Jan
1905,Classic Fun | Intense TPP | PUBG MOBILE (iPad 2018),2019-01-05,383663,16089,0,132,Jan
1906,Classic Fun | Intense TPP and FPP | PUBG MOBILE (iPad 2018),2019-01-04,399128,15264,0,181,Jan
1907,MAD BEAR on the run | Intense TPP and FPP | PUBG MOBILE (iPad 2018),2019-01-03,499470,18472,0,192,Jan
1908,MortaL | Scrims with Lights Out | PUBG MOBILE,2019-01-02,181737,5580,0,652,Jan
1909,Intense Gameplays | Pubg Mobile on iPad | LIVESTREAM,2019-01-02,356686,14798,0,41,Jan
1910,Intense Gameplays | Pubg Mobile on iPad | LIVESTREAM,2019-01-02,74771,3246,0,61,Jan
1911,Intense Gameplays | Pubg Mobile on iPad | LIVESTREAM,2019-01-02,269652,12838,0,321,Jan
1912,Intense Gameplays | Pubg Mobile on iPad | First Stream of 2019,2019-01-01,285718,14822,0,135,Jan
1913,Last Stream of 2018 | PUBG MOBILE Intense battles,2018-12-31,302518,12857,0,98,Dec
1914,SouL vs LO 4v4 Friendly Scrims | PUBG MOBILE ON iPad 2018,2018-12-31,257822,9412,0,204,Dec
1915,INTENSE BATTLES | PUBG MOBILE ON iPad 2018,2018-12-29,241738,12535,0,134,Dec
1916,Look who joined SouL B) | PUBG MOBILE | FPP Intensifies,2018-12-28,290329,9284,0,132,Dec
1917,"PUBG MOBILE Challenge | Mood Indigo - IIT Bombay, Powai (Solo Tournament Commentary)",2018-12-28,253056,8264,0,84,Dec
